outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,iq_compliance,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,13,14.22,14,4.23598866854008,100,0,0,0.8,0.2,19,0,10460,cluster,0.0192,4,3.558,4,0.885796816431398,8,6.841,6,4.26915905067965,True,4,4.09027081243731,4,1.72824654933447,99.7000000000001,0.3,0
True,13,13.769,13,4.22085761427699,100,0,0,0.8,0.2,20,0,10460,cluster,0.0192,3,3.411,3,0.850928316604871,5,6.87,6,4.35902512036809,True,4,3.96492985971944,4,1.78553881021269,99.8000000000001,0.2,0
True,12,12.891,12,3.70096190199251,100,0,0,0.8,0.2,21,0,10460,cluster,0.0192,3,3.393,3,0.817649680486698,5,7.23,7,4.68797397603698,True,4,3.76730190571715,3,1.46849701824831,99.7000000000001,0.3,0
True,12,12.445,12,3.71550467635286,100,0,0,0.8,0.2,22,0,10460,cluster,0.0192,3,3.292,3,0.802954544167975,6,7.228,7,4.75373705625374,True,4,3.68768768768769,3,1.50759125426904,99.9000000000001,0.1,0
True,11,11.796,11,3.34669747661781,100,0,0,0.8,0.2,23,0,10460,cluster,0.0192,3,3.213,3,0.767874338677886,6,7.102,6,4.7025095427867,True,4,3.55321285140562,3,1.28248148286479,99.6000000000001,0.4,0
True,10,11.371,11,3.0168458694471,100,0,0,0.8,0.2,24,0,10460,cluster,0.0192,3,3.211,3,0.786434358354211,6,7.326,7,4.84104575479307,True,4,3.4653961885657,3,1.19261189744161,99.7000000000001,0.3,0
True,10,10.669,10,2.76503869774005,100,0,0,0.8,0.2,25,0,10460,cluster,0.0192,3,3.176,3,0.744999328858758,6.5,7.778,7,4.89169868246195,True,4,3.34638554216867,3,1.06961361298186,99.6000000000001,0.4,0
True,10,10.229,10,2.46100772042674,100,0,0,0.8,0.2,26,0,10460,cluster,0.0192,3,3.097,3,0.71245420905487,7,7.461,7,4.74936616823761,True,4,3.24549098196393,3,0.951138285158276,99.8000000000001,0.2,0
True,9,9.871,10,2.34869304082079,100,0,0,0.8,0.2,27,0,10460,cluster,0.0192,3,3.072,3,0.728571204481758,7,7.731,7,5.19794565188979,True,4,3.19597989949749,3,0.93334860458803,99.5000000000001,0.5,0
True,9,9.605,9,2.23449658760089,100,0,0,0.8,0.2,28,0,10460,cluster,0.0192,3,2.985,3,0.721647420836519,7,7.777,7,5.22506181781613,True,4,3.10943775100402,3,0.846129437640322,99.6000000000001,0.4,0
True,9,9.286,9,2.27072763668389,100,0,0,0.8,0.2,29,0,10460,cluster,0.0192,3,2.968,3,0.727307362811624,7,7.9,7,5.14567779791934,True,4,3.0989898989899,3,0.84345309360396,99.0000000000001,1,0
True,8,8.825,9,1.95201818639069,100,0,0,0.8,0.2,30,0,10460,cluster,0.0192,3,2.93,3,0.712109542135197,8,8.155,7,5.35004439233919,True,4,3.00502008032129,3,0.771593367582942,99.6000000000001,0.4,0
True,8,8.576,8,1.91003246045715,100,0,0,0.8,0.2,31,0,10460,cluster,0.0192,3,2.921,3,0.701967947986231,8,8.286,8,5.42938339040448,True,4,2.98487903225806,3,0.776918272082616,99.2000000000001,0.8,0
True,8,8.418,8,1.8464224868648,100,0,0,0.8,0.2,32,0,10460,cluster,0.0192,3,2.878,3,0.668667331338985,9,8.293,8,5.43683280964203,True,4,2.96670030272452,3,0.715900645056449,99.1000000000001,0.9,0
True,8,7.99,8,1.6309199857749,100,0,0,0.8,0.2,33,0,10460,cluster,0.0192,3,2.807,3,0.680992657816514,9,8.284,8,5.7016965896126,True,4,2.87474747474748,3,0.674550869560581,99.0000000000001,1,0
True,7,7.895,8,1.58681284340656,100,0,0,0.8,0.2,34,0,10460,cluster,0.0192,3,2.779,3,0.679822771021978,9,8.344,8,5.62633664119025,True,4,2.83132530120482,3,0.677864775021738,99.6000000000001,0.4,0
True,7,7.7,7,1.51657508881031,100,0,0,0.8,0.2,35,0,10460,cluster,0.0192,3,2.77,3,0.680514511233963,9,8.354,7,5.74984208478807,True,4,2.841046277666,3,0.667501808128153,99.4000000000001,0.6,0
True,7,7.521,7,1.43650931079475,100,0,0,0.8,0.2,36,0,10460,cluster,0.0192,3,2.741,3,0.641809161667236,9,8.428,8,5.64134877489417,True,4,2.82882882882883,3,0.66496007521607,99.9000000000001,0.1,0
True,7,7.257,7,1.31945102220583,100,0,0,0.8,0.2,37,0,10460,cluster,0.0192,3,2.734,3,0.713613340682474,10,8.77,8,6.07067541547067,True,4,2.77967806841046,3,0.633369114810206,99.4000000000001,0.6,0
True,7,7.152,7,1.29957531524725,100,0,0,0.8,0.2,38,0,10460,cluster,0.0192,3,2.691,3,0.649244946071974,10,8.501,8,5.72083901189327,True,4,2.75477386934673,3,0.629400946837549,99.5000000000001,0.5,0
